object_data_id,status,image_type,object_type,image_ids,image_paths,missing_image_ids,preview,evidence
1,VERIFIED,1,1,25,res/data/img/25.img,,catalog_previews/obj_1_img_25.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
2,VERIFIED,1,1,25,res/data/img/25.img,,catalog_previews/obj_2_img_25.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
3,VERIFIED,1,1,25,res/data/img/25.img,,catalog_previews/obj_3_img_25.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
4,VERIFIED,1,1,25,res/data/img/25.img,,catalog_previews/obj_4_img_25.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1000,VERIFIED,1,1,,,,,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1001,VERIFIED,1,1,,,,,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1002,VERIFIED,1,1,,,,,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1003,VERIFIED,1,1,,,,,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1004,VERIFIED,1,1,,,,,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1005,VERIFIED,1,1,3321,res/data/img/3321.img,,catalog_previews/obj_1005_img_3321.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1006,VERIFIED,1,1,3322,res/data/img/3322.img,,catalog_previews/obj_1006_img_3322.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1007,VERIFIED,1,1,3323,res/data/img/3323.img,,catalog_previews/obj_1007_img_3323.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1008,VERIFIED,1,1,7192,res/data/img/7192.img,,catalog_previews/obj_1008_img_7192.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1009,VERIFIED,1,1,7193,res/data/img/7193.img,,catalog_previews/obj_1009_img_7193.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1010,VERIFIED,1,1,7194,res/data/img/7194.img,,catalog_previews/obj_1010_img_7194.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1011,VERIFIED,1,1,1011,res/data/img/1011.img,,catalog_previews/obj_1011_img_1011.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1012,VERIFIED,1,1,7195,res/data/img/7195.img,,catalog_previews/obj_1012_img_7195.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1013,VERIFIED,1,1,7196,res/data/img/7196.img,,catalog_previews/obj_1013_img_7196.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1014,VERIFIED,1,1,7197,res/data/img/7197.img,,catalog_previews/obj_1014_img_7197.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1015,VERIFIED,1,1,7198,res/data/img/7198.img,,catalog_previews/obj_1015_img_7198.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1016,VERIFIED,1,1,7199,res/data/img/7199.img,,catalog_previews/obj_1016_img_7199.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1017,VERIFIED,1,1,7200;7201,res/data/img/7200.img;res/data/img/7201.img,,catalog_previews/obj_1017_img_7200.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1018,VERIFIED,1,1,7202;7201,res/data/img/7202.img;res/data/img/7201.img,,catalog_previews/obj_1018_img_7202.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1019,VERIFIED,1,1,7203;7204,res/data/img/7203.img;res/data/img/7204.img,,catalog_previews/obj_1019_img_7203.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1020,VERIFIED,1,1,7205;7204,res/data/img/7205.img;res/data/img/7204.img,,catalog_previews/obj_1020_img_7205.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1099,VERIFIED,1,1,3170;3168;3169;3171,res/data/img/3170.img;res/data/img/3168.img;res/data/img/3169.img;res/data/img/3171.img,,catalog_previews/obj_1099_img_3170.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1100,VERIFIED,1,1,1100,res/data/img/1100.img,,catalog_previews/obj_1100_img_1100.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1101,VERIFIED,1,1,1101,res/data/img/1101.img,,catalog_previews/obj_1101_img_1101.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1102,VERIFIED,1,1,3172;3174;3173;3175,res/data/img/3172.img;res/data/img/3174.img;res/data/img/3173.img;res/data/img/3175.img,,catalog_previews/obj_1102_img_3172.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1103,VERIFIED,1,1,1102,res/data/img/1102.img,,catalog_previews/obj_1103_img_1102.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1104,VERIFIED,1,1,1103,res/data/img/1103.img,,catalog_previews/obj_1104_img_1103.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1105,VERIFIED,1,1,1108,res/data/img/1108.img,,catalog_previews/obj_1105_img_1108.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1106,VERIFIED,1,1,1107,res/data/img/1107.img,,catalog_previews/obj_1106_img_1107.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1107,VERIFIED,1,1,1109,res/data/img/1109.img,,catalog_previews/obj_1107_img_1109.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1108,VERIFIED,1,1,1106,res/data/img/1106.img,,catalog_previews/obj_1108_img_1106.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1109,VERIFIED,1,1,1104,res/data/img/1104.img,,catalog_previews/obj_1109_img_1104.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1110,VERIFIED,1,1,1105,res/data/img/1105.img,,catalog_previews/obj_1110_img_1105.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1111,VERIFIED,1,1,1110,res/data/img/1110.img,,catalog_previews/obj_1111_img_1110.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1112,VERIFIED,1,1,1111;1113;1115,res/data/img/1111.img;res/data/img/1113.img;res/data/img/1115.img,,catalog_previews/obj_1112_img_1111.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1113,VERIFIED,1,1,1112;1114;1116,res/data/img/1112.img;res/data/img/1114.img;res/data/img/1116.img,,catalog_previews/obj_1113_img_1112.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1114,VERIFIED,1,1,1117,res/data/img/1117.img,,catalog_previews/obj_1114_img_1117.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1115,VERIFIED,1,1,1118,res/data/img/1118.img,,catalog_previews/obj_1115_img_1118.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1116,VERIFIED,1,1,1119,res/data/img/1119.img,,catalog_previews/obj_1116_img_1119.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1117,VERIFIED,1,1,1120;1121;1122;1123,res/data/img/1120.img;res/data/img/1121.img;res/data/img/1122.img;res/data/img/1123.img,,catalog_previews/obj_1117_img_1120.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1118,VERIFIED,1,1,1124;1125;1126;1127,res/data/img/1124.img;res/data/img/1125.img;res/data/img/1126.img;res/data/img/1127.img,,catalog_previews/obj_1118_img_1124.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1119,VERIFIED,1,1,1128;1129;1130,res/data/img/1128.img;res/data/img/1129.img;res/data/img/1130.img,,catalog_previews/obj_1119_img_1128.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1120,VERIFIED,1,1,1131;1132;1133,res/data/img/1131.img;res/data/img/1132.img;res/data/img/1133.img,,catalog_previews/obj_1120_img_1131.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1121,VERIFIED,1,1,1137;1136;1135;1134,res/data/img/1137.img;res/data/img/1136.img;res/data/img/1135.img;res/data/img/1134.img,,catalog_previews/obj_1121_img_1137.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1122,VERIFIED,1,1,1138;1139;1140,res/data/img/1138.img;res/data/img/1139.img;res/data/img/1140.img,,catalog_previews/obj_1122_img_1138.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1123,VERIFIED,1,1,1141;1143;1142;1144,res/data/img/1141.img;res/data/img/1143.img;res/data/img/1142.img;res/data/img/1144.img,,catalog_previews/obj_1123_img_1141.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1128,VERIFIED,1,1,1145;1146;1147;1148,res/data/img/1145.img;res/data/img/1146.img;res/data/img/1147.img;res/data/img/1148.img,,catalog_previews/obj_1128_img_1145.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
1129,VERIFIED,1,1,1150;1151;1149;1152,res/data/img/1150.img;res/data/img/1151.img;res/data/img/1149.img;res/data/img/1152.img,,catalog_previews/obj_1129_img_1150.png,obj header image-slot shorts → res/data/img/{id}.img (GObjectData.init / PC loader main.b.a.e.a.d)
